0,1,2,Name,NA_Sales,JP_Sales,EU_Sales,Other_Sales,Global_Sales,Rating,Developer,Publisher,Genre
15050.200185269248,207.14922349521964,4.1059081054787585,The Elder Scrolls V: Skyrim,9650000.0,390000.0,8370000.000000001,2730000.0,21150000.0,M,Bethesda Game Studios,Bethesda Softworks,Role-Playing
-138.27675290042475,20.22197226763028,12.739492306349243,Super Mario Kart,3540000.0,3810000.0,1240000.0,180000.0,8760000.0,E,Nintendo,Nintendo,Racing
1617.4194066560863,-40.109019006424795,-5.912000209392569,FIFA 16,3050000.0000000005,110000.0,11090000.000000002,2050000.0,16300000.0,E,EA Sports,Electronic Arts,Sports
1298.0342959536129,-72.4870566867273,6.090334536491222,Halo 2,6830000.0,50000.0,1590000.0,100000.0,8580000.0,M,Bungie Software,Microsoft Game Studios,Shooter
-83.37215952156372,-21.29110295878746,-3.594773432587281,Wii Party,1750000.0,2490000.0,3470000.0,670000.0,8380000.000000001,E,Nd Cube,Nintendo,Misc
52.571692692693716,-17.259006889902892,-0.6435268722897801,Mario Party 8,3740000.0,1580000.0,2240000.0,700000.0,8270000.0,E,Hudson,Nintendo,Misc
1095.3031984270322,-87.12420399498804,-1.6436395033804079,FIFA Soccer 13,2630000.0000000005,230000.0,10160000.000000002,2949999.9999999995,15960000.0,E,Electronic Arts,Electronic Arts,Action
-138.27085160978285,20.021629778651164,7.747445075987259,GoldenEye 007,5800000.0,130000.0,2010000.0,150000.0,8090000.0,E,Nintendo,Nintendo,Shooter
-138.25314773785715,19.420602311713807,-7.228696615098693,Pokemon Black 2/Pokemon White 2,2790000.0,3140000.0,1720000.0,410000.0,8070000.0,E,Nintendo,Nintendo,Role-Playing
918.6238899446611,-10.528373357517623,6.2540497731179086,Final Fantasy X,2910000.0,2730000.0,2070000.0,330000.0,8050000.000000001,T,SquareSoft,Sony Computer Entertainment,Role-Playing
959.6323140807806,-150.866525208688,3.746695387798103,The Sims 3,4239999.999999999,50000.0,9400000.0,1370000.0000000002,15069999.999999998,T,The Sims Studio,Electronic Arts,Simulation
-138.25940236925143,19.63018012240591,-2.2896535070607804,Mario & Sonic at the Olympic Games,4199999.999999999,1100000.0,6310000.000000001,1480000.0,13080000.0,T,Sega,Sega,Sports
-138.24984284495895,19.3072400601617,-10.266835868286819,Star Wars Battlefront (2015),5160000.0,240000.0,5150000.0,1640000.0000000002,12190000.000000002,E,Electronic Arts,Electronic Arts,Shooter
506.0968217516446,9.719256138467973,6.956895487667995,Final Fantasy VIII,2280000.0,3630000.0,1720000.0,230000.0,7860000.0,T,SquareSoft,SquareSoft,Role-Playing
-138.28895647423602,20.632121018244796,22.674725321517375,Pac-Man,7550000.000000001,850000.0,530000.0,100000.0,9030000.0,E,Atari,Atari,Puzzle
65.6773085880245,-22.036106417959928,-1.317502400434207,Pokémon Platinum Version,2760000.0,2690000.0,1720000.0,540000.0,7720000.0,E,Game Freak,Nintendo,Role-Playing
427.0423675045341,-82.14953108256611,4.4760580719482395,Grand Theft Auto: Liberty City Stories,4460000.0,310000.0,4210000.0,2230000.0,11230000.0,M,Rockstar Leeds,Take-Two Interactive,Action
3768.204286960834,-7.095526223347258,-3.6799968226103017,Call of Duty: Advanced Warfare,10510000.0,340000.0,8300000.000000001,2820000.0,21990000.0,M,Sledgehammer Games,Activision,Shooter
-138.26967135165447,19.98156128085534,6.749035629914863,The Legend of Zelda: Ocarina of Time,6189999.999999999,2070000.0,3200000.0,470000.0,11930000.0,E,Nintendo,Nintendo,Action
666.7658630606525,-66.4649360312663,-6.967161969442178,FIFA 17,1210000.0000000002,110000.0,8739999.999999998,1420000.0000000002,11470000.0,E,"EA Sports, EA Vancouver",Electronic Arts,Sports
-138.27079508843872,20.022244930133844,7.732693752229584,Crash Bandicoot 2: Cortex Strikes Back,3780000.0,1310000.0,2170000.0,310000.0,7580000.0,RP,Sony Computer Entertainment,Sony Computer Entertainment,Platform
-138.2507872216004,19.34046531612216,-9.225515507243486,Super Smash Bros. for Wii U and 3DS,5870000.0,3240000.0,2450000.0,860000.0,12420000.0,E,Nintendo,Nintendo,Fighting
1717.1778453456682,-27.80613921155399,-1.0984111155014642,Super Mario Galaxy 2,3560000.0,980000.0,2350000.0,620000.0,7510000.0,E,Nintendo EAD Tokyo,Nintendo,Platform
-138.28147393293827,20.382246258813577,16.73313009063883,Super Mario Bros. 2,5390000.0,700000.0,1180000.0,190000.0,7460000.0,E,Nintendo,Nintendo,Platform
1673.5110580914156,-137.57940833535972,5.1359949241668295,Call of Duty: World at War,9290000.0,0.0,4680000.0,1810000.0,15780000.0,M,Treyarch,Activision,Shooter
8692.057817784755,52.27746196532093,2.8010597780103157,Battlefield 3,8200000.000000001,410000.0,6430000.0,2230000.0,17270000.0,M,EA DICE,Electronic Arts,Shooter
447.05674750896725,-82.64251299174475,6.539873910547877,Need for Speed Underground,5260000.000000001,90000.0,3980000.0,1140000.0000000002,10460000.0,E,EA Black Box,Electronic Arts,Racing
-27.83481595079172,0.9348327574459391,-3.4523072770287317,Just Dance,3480000.0,0.0,2990000.0,730000.0,7200000.0,E10+,Ubisoft Paris,Ubisoft,Misc
13350.550217953985,172.67134084763381,-0.5769901626750294,Fallout 4,5549999.999999999,250000.0,5260000.0,1609999.9999999998,12669999.999999998,M,Bethesda Game Studios,Bethesda Softworks,Role-Playing
228.9670898121517,12.82556642100919,7.539832847058601,Tekken 3,3270000.0,1400000.0,2220000.0,290000.0,7160000.0,T,Namco,Sony Computer Entertainment,Fighting
2089.130785769454,-21.69397794824711,3.0893713920110777,The Legend of Zelda: Twilight Princess,4890000.000000001,640000.0,2500000.0,720000.0000000001,8740000.0,T,Nintendo,Nintendo,Action
-138.24842670534363,19.260328320530512,-11.22233439938828,Pokemon Sun/Moon,2980000.0,2260000.0,1450000.0,450000.0,7140000.0,E,Nintendo,Nintendo,Role-Playing
293.88806730843004,17.215235220031925,7.42129129348253,Crash Bandicoot 3: Warped,3680000.0,1420000.0,1750000.0,280000.0,7130000.0,E,Naughty Dog,Sony Computer Entertainment,Platform
1462.1338219236345,-28.414253012844014,-5.398497513006815,Mario Kart 8,3150000.0,1280000.0,2150000.0,510000.0,7090000.0,E,Nintendo,Nintendo,Racing
430.4153099287258,-5.972660541984025,5.512324961249846,Super Smash Bros. Melee,4410000.0,1390000.0,1040000.0,220000.0,7070000.0,T,HAL Labs,Nintendo,Fighting
-138.26377006101256,19.78121879187622,1.7569883995528783,Mario Kart: Double Dash!!,4120000.0,870000.0,1770000.0,190000.0,6950000.0,E,Nintendo,Nintendo,Racing
468.2876047523255,-93.21689227650343,5.957375707617727,Need for Speed Underground 2,5210000.0,90000.0,4409999.999999999,1250000.0000000002,10950000.000000002,E,EA Canada,Electronic Arts,Racing
37.039550789368995,-39.39547041349325,5.319793869834932,Medal of Honor: Frontline,4390000.000000001,170000.0,3300000.0000000005,1070000.0,8910000.0,T,EA LA,Electronic Arts,Shooter
-138.27197534656707,20.062313427929666,8.73110319830198,Crash Bandicoot,3230000.0,940000.0,2350000.0,300000.0,6820000.0,RP,Sony Computer Entertainment,Sony Computer Entertainment,Platform
-7.173613227340709,-29.74069195576465,-5.151492020702153,Just Dance 4,5420000.0,0.0,2590000.0,730000.0,8739999.999999998,E10+,Ubisoft,Ubisoft,Misc
2602.037225646853,-11.806162426384772,1.2504959221355358,Gears of War 2,4150000.0000000005,60000.0,1900000.0,640000.0,6750000.0,M,Epic Games,Microsoft Game Studios,Shooter
3574.967868252992,1.8708369741932855,-1.1415658572304392,Uncharted 3: Drake's Deception,2770000.0,190000.0,2750000.0,1030000.0,6740000.0,T,Naughty Dog,Sony Computer Entertainment,Action
5049.799464403108,25.472583313287565,1.67036807268215,Uncharted 2: Among Thieves,3270000.0,210000.0,2200000.0,980000.0,6660000.0,T,Naughty Dog,Sony Computer Entertainment,Action
-138.25456387747246,19.467514051344995,-6.273198083997232,FIFA 12,2070000.0,150000.0,8440000.0,2369999.9999999995,13060000.0,E,Electronic Arts,Electronic Arts,Sports
-110.30768459902775,-24.66863312989927,1.5253389461929547,Big Brain Academy,1660000.0,1600000.0,2750000.0,620000.0,6620000.0,E,Nintendo,Nintendo,Misc
-138.283834449195,20.462383254405225,18.729948982783625,The Legend of Zelda,3740000.0,1690000.0,930000.0,140000.0,6510000.0,E,Nintendo,Nintendo,Action
