Critic_Count,Critic_Score,Developer,EU_Sales,Genre,Global_Sales,JP_Sales,NA_Sales,Name,Other_Sales,Platform,Publisher,Rating,User_Count,User_Score,Year_of_Release
84.0,6.133333333333333,Spiders,0.060000000000000005,Role-Playing,0.09999999999999999,0.0,0.03,The Technomancer,0.01,PS4,Focus Home Interactive,M,320.0,6.966666666666668,2016.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Mobile Suit Gundam 00: Gundam Meisters,0.0,PS2,Namco Bandai Games,E,0.0,0.0,2008.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo! ,0.0,3DS,Namco Bandai Games,E,0.0,0.0,2014.0
51.0,7.7,Headfirst Productions,0.01,Adventure,0.06,0.0,0.05,Call of Cthulhu: Dark Corners of the Earth,0.0,XB,Take-Two Interactive,M,37.0,8.1,2005.0
0.0,0.0,Namco Bandai Games,0.0,Strategy,0.06,0.06,0.0,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,0.0,PS3,Namco Bandai Games,E,0.0,0.0,2014.0
30.0,7.5,Pendulo Studios,0.05,Adventure,0.06,0.0,0.0,The Next BIG Thing,0.01,PC,Focus Home Interactive,E10+,35.0,7.9,2011.0
0.0,0.0,Konami Digital Entertainment,0.02,Action,0.06,0.0,0.03,Metal Gear Solid: Social Ops,0.01,PS2,Konami Digital Entertainment,RP,0.0,0.0,2002.0
0.0,0.0,TDK Core,0.0,Misc,0.06,0.06,0.0,Minna no DS Seminar: Kanpeki Eitango Ryoku,0.0,DS,TDK Core,RP,0.0,0.0,2006.0
0.0,0.0,Konami Digital Entertainment,0.0,Simulation,0.06,0.06,0.0,Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,0.0,DS,Konami Digital Entertainment,RP,0.0,0.0,2008.0
0.0,0.0,Infogrames,0.0,Racing,0.06,0.06,0.0,PenPen TriIceLon,0.0,DC,Infogrames,E,0.0,0.0,1998.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,0.0,PSP,Namco Bandai Games,E,0.0,0.0,2010.0
0.0,0.0,Nintendo,0.0,Role-Playing,0.06,0.0,0.06,Mega Man Battle Network 5: Double Team DS (US sales),0.0,DS,Nintendo,E,0.0,0.0,2005.0
44.0,6.733333333333333,"10tacle Studios, Fusionsphere Systems",0.06,Adventure,0.15,0.0,0.08,Secret Files: Tunguska,0.0,Wii,Koch Media,T,51.0,7.533333333333334,2008.0
0.0,0.0,Sony Online Entertainment,0.0,Role-Playing,0.06,0.0,0.06,EverQuest II: Destiny of Velious,0.0,PC,Sony Online Entertainment,T,5.0,7.4,2011.0
7.0,3.6,KCEO,0.01,Sports,0.06,0.0,0.05,Disney Sports Skateboarding,0.0,GC,Konami Digital Entertainment,E,6.0,4.7,2002.0
0.0,0.0,Media Vision,0.0,Action,0.09,0.09,0.0,Summon Night 6: Lost Borders,0.0,PSV,Namco Bandai Games,T,0.0,0.0,2016.0
0.0,0.0,Namco Bandai Games,0.0,Role-Playing,0.06,0.06,0.0,Summon Night 2,0.0,DS,Namco Bandai Games,E,0.0,0.0,2008.0
29.0,6.1,Taito Corporation,0.0,Puzzle,0.06,0.0,0.06,Arkanoid DS,0.0,DS,Square Enix,E,5.0,7.0,2007.0
39.0,7.8,Arkedo Studio,0.0,Shooter,0.06,0.0,0.05,Big Bang Mini,0.0,DS,SouthPeak Games,E,26.0,8.2,2009.0
0.0,0.0,Namco Bandai Games,0.0,Action,0.06,0.06,0.0,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,0.0,PSP,Namco Bandai Games,E,0.0,0.0,2012.0
0.0,0.0,Compile Heart,0.0,Role-Playing,0.06,0.06,0.0,Genkai Tokki: Moero Crystal,0.0,PSV,Compile Heart,T,0.0,0.0,2015.0
0.0,0.0,Square Enix,0.0,Role-Playing,0.11,0.11,0.0,Project Setsuna,0.0,PS4,Square Enix,T,0.0,0.0,2016.0
65.0,7.300000000000001,Croteam,0.02,Shooter,0.06999999999999999,0.0,0.05,Serious Sam II,0.0,XB,Take-Two Interactive,M,163.0,6.85,2005.0
28.0,6.4,SCEI,0.02,Misc,0.06,0.0,0.03,Flipnic: Ultimate Pinball,0.01,PS2,Ubisoft,E,12.0,8.1,2003.0
0.0,0.0,Nintendo,0.0,Misc,0.06,0.06,0.0,Eigo de Tabisuru: Little Charo,0.0,DS,Nintendo,E,0.0,0.0,2011.0
0.0,0.0,Kadokawa Shoten,0.0,Adventure,0.06,0.06,0.0,D.C. II P.S.: Da Capo II Plus Situation,0.0,PS2,Kadokawa Shoten,RP,0.0,0.0,2008.0
50.0,8.1,CD Projekt Red Studio,0.05,Role-Playing,0.06,0.0,0.0,The Witcher,0.01,PC,Atari,M,1116.0,8.8,2007.0
0.0,0.0,GT Interactive,0.01,Sports,0.06,0.0,0.05,Mike Piazza's Strike Zone,0.0,N64,GT Interactive,RP,0.0,0.0,1998.0
